,date,name,comment,like,replies
0,2023-02-14T13:52:46Z,@econYT,Hi! Awesome people of the internet.  -Comment and Suggestions are welcome. -Sharing videos with people who you think might enjoy such content. -Subscribe for more economics content   You are awesome :),299,57
1,2023-12-14T12:37:37Z,@devanshsadh8894,We Indians dont need Health and Education! We only need our Mandirs   thats what we vote for :)))),0,0
2,2023-12-14T07:06:51Z,@Chad-qw8ok,"Address corruption, stop voting along religious lines, invest in education, healthcare, and build infrastructure. Easier said than done but India must move in this direction if wants to succeed",0,0
3,2023-12-13T19:59:47Z,@sks94525,Reason why Tamilnadu govt introduced free public transport for women in specific white board Chennai Metro Buses.   All state transportation and railways can try to give subsidised or free transportation for women.,0,0
4,2023-12-12T10:23:38Z,@djsjsjjejebfbdj,"Fair analysis. One correction though, in India education is on the 'joint list'. That means both state and central governments spend on it. Only 2% of the central government's budget is for education, but in addition most states generally give 9-10% towards education. Some more and some less.   In any case even this is inadequate, but you failed to mention this nuance",0,0
5,2023-12-12T08:57:44Z,@shahinchoudhury8256,"one primary hurdle in india's growth story is acceptance of corruption . we know it as a fact from a peon to the PM everyone is involved in corruption & everyone is seem to be okay with it. the hate towards corrupt is not out of moral standing but aspirational , everyone wants to be like that rich guy next door but also hates him cause he haven't got the opportunity to make money yet.",0,0
6,2023-12-11T15:00:55Z,@vivekmohanta2363,"A very skewed content with presentation of only selective facts. It's sad to see only one aspect of any parameter is made to show a grim picture, whereas the mirroring aspect can get much show otherwise. Eg: it shows % of GDP spent on healthcare, but it has not recognised purchasing power parity of India. How else did we build the infrastructure against COVID, and how else is India a leader in telemedicine and medical tourism. The content creator has merely concluded that India's economy is in dire straits and has misrepresented facts to justify three assumption. It's true the economy has struggled so far, but one cannot compare India's growth linearly with China. I see this content is 9 months old, and as on Q2 reports India's is the fact getting major economy, faster than China's. Does it mean in 9 months the Indian government overhauled the system and making this content redundant !?!",0,0
7,2023-12-11T09:18:37Z,@Adi-bo5do,"It takes money to  make most things India needs right now but India is poor Western countries didnt have a lot of these in early stages of industrialization, they got rich of Americas natural resources subsidizing their economies",0,0
8,2023-12-09T06:46:44Z,@quasarsupernova9643,Middle class men in India used to consider women in their families working an insult to their own manhood.,0,0
9,2023-12-09T04:33:29Z,@chiragmgowda7995,China is a communist country where human rights have disappeared so you cant compare India to China,1,0
10,2023-12-08T08:55:40Z,@NoThing-ec9km,*6:37** how did u came up with that conclusion?* 1year is left for 2025 and we are already a 4trillion economy.,1,0
11,2023-12-07T11:10:53Z,@dwitidas5040,India gives more than 50% reservation to socially backward groups in engineering education and govt sector jobs,1,0
12,2023-12-06T01:19:31Z,@basusri1120,Huge subsidies are paid by the Government to various sectors of the economy and people for political reasons. Our trade with China is now n excess of USD120 Billion with a USD80 Billion trade deficit in favor of China.,1,0
13,2023-12-05T07:49:53Z,@felipelim4750,INDIA GDP IS $ 3.2 TRILLIONS  & CHINA GDP IS $ 17.3 TRILLIONS AS OF 2023.,1,0
14,2023-12-04T17:07:14Z,@arenmishra,"Request the creator of video to kindly explain how the hell is India the fastest growing economy despite poorer performance on every economic indicator w r t world, from past to present.  Plz don't say that FDI is coming in coz govt. is blackmailing industries to do so.  This is the most unbelievable thing. Either the growth rates are false or you are lying.",0,3
15,2023-12-03T04:25:42Z,@ihmpall,Sar we are superpower sirjee dont mess with India ok we are suparpawar,1,0
16,2023-12-02T22:05:47Z,@Rajveer_singh___,We need manmohan singh back,1,1
17,2023-12-02T12:35:01Z,@samedu5163,Propaganda ,2,0
18,2023-12-02T10:20:15Z,@virajnh2043,"Amazing information, all blind voters need to give a glance and check numbers and evaluate the government based on the development by assessing the KPI, you know what will be the case of all these political parties if the voters get educated and they understand numbers, I wish the country to be in this situation in another decade or two.",0,0
19,2023-11-30T15:41:28Z,@alabaamadi8460,"... (1), POLLUTION...HE OMITTED, WHILE REITERATING HEALTHCARE, (2) LACK OF BUSINESS ETHICS AND INDIAN MENTALITY, (THEY ARE NOT CREATIVE THEY WANNA INVITE JOINT VENTURE AND STEAL TECHNOLOGY, THAN KICK OUT THAT COMPANY) \""\"" TAKE OVER\""\""  WHAT I MEAN HAS SHOWED AT SOUTH KOREAN COMPANIES FLEEING INDIA, WHY ? (3) ALWAYS THINK, OTHERS ARE CLEVER THAN YOU,.. LOOK AT GAUTAM ADANI,.(4) CORRUPTION AND VIEW BILLIONAIRES MAKE THE GOVT, POLICIES. (5) CAPITALISM NOT SUITABLE SUCH VAST POPULATION, BCZ, BROFIT OVERRIDES COMMON GOODNESS,  (6)  I AGREED ALL OTHER IN THE VIDEO.",0,0
20,2023-11-25T08:31:12Z,@challenger539,"This video is one of the few ones who focused on the fundamental problems of our country's growth stagnation since last 75 years. One of the most challenging aspect I believe along with the expenditure part in HDI is the obstacle provided by India's model of fiscal federalism. Many scholars argued it to be contradictory and inefficient. Like we have 1 Central board for education- CBSE but also different decentralized boards of all the states. This produces a major flaw- if central government brings any reforms or policies or projects it will be only applicable for CBSE, ICSE board may follow and  state boards as per their wish. So there is no space for uniformity in growth. Same goes for healthcare. There's a central ministry of HDI who can invest building mega-med colleges like AIIMS or schemes(for votes mainly) that can just affect the whole population but when it comes transformation of the entire public healthcare system, it's impossible as it needs a centralised ambitionist project & every state has their own autonomous healthcare ministry, more problematic when ruling parties are different. This applies to every units including infrastructure and industries& agriculture. Indeed there are 60 autonomous subjects on the state lists where one cannot interfere and is neither accountable to any higher authority. This contradictory federalism meant a disunity and lack of uniformity in various aspects such as say regional imbalances. It was for local specialisations but failed to achieve it and resulted in regionalism. The situation is entirely different for China which a Unitarian centralized Republic with subordinates at the provincial and local level so their people at the local level is in order with the highest level organisational goals. Also this problem of ours is accompanied by a hotchpotch multiparty democracy where leaders do popular things unlike China where they do right things because no fear of losing elections. This is accompanied by dysfunctional politics & corrupted, inefficient administrative,executive,legislative, judiciary structure & systems.  So I hope our national thinkers will come up with a solution to this that either concentrates on the units such as of HDI, Economic matters, public facilities,infrastructure etc at the provincial level to be subordinate under a centralised one, further their subdivisions into districts and local levels or vice versa- to begin from the lowest to go to the highest in an interconnected instead of autonomous i.e concentration of various of such units & administrative offices at the local level, unifying them at the district, unifying them further at the provincial level and last to he central level where at each higher level they are accountable to each other. This might address both local issues & collectivise them into 1 national issue.",1,1
21,2023-11-24T06:18:54Z,@user-jw3yt5cl7f,Looks like this documentary is funded by CCP and Global times,1,0
22,2023-11-24T06:18:06Z,@user-jw3yt5cl7f,This documentary sounds like its funded by CCP and global times,1,0
23,2023-11-24T05:43:14Z,@JaiRawat898,India is ruined by freebies. A big percentage of indian population wants free electricity/free rashan/different type of freebies scheme but they don't want to work. Second reason is politician who make wrong decesion just to win elections.,0,0
24,2023-11-20T08:03:46Z,@ashwinikumarsinha3898,Writer of the video appears to be jealous of India progress.,0,0
25,2023-11-14T18:41:26Z,@pranjalpatil9659,Let's build the statue first!,0,0
26,2023-11-13T13:49:02Z,@kritikasingh88,Thank you for making such video as a youth you definitely believe what the news television shows you stating how we have grown in our GDP but the problem lies within creating this hollow foundation  without proper education (which is a social evil) crime rates have also significantly increased.,1,0
27,2023-11-13T01:17:50Z,@allenantony1,"INDIA is dominated by caste, religion and superstitions. government take advantage of this  - as in they don't need to spend huge money to build good infrastructure ( even if they built good infrastructure indian's primary goal is to practise caste and religion on a newly built highway). so purposefully govt doesn't risk it and they know even if people have good highways or mud roads their primary instinct is for caste and religion.",0,0
28,2023-11-09T08:06:51Z,@er.abhisheksingh775,Reservation system and population growth is main problem of India,0,0
29,2023-11-09T05:48:31Z,@adityabhalerao3364,"India is a land where people will give up their dignity for getting something for free (reservations). Inability to take on constructive critisism. Having their bar for lifestyle set very low. Taking everything for granted. Just existing and leeching off on the resources without giving a though on development or how they'll be beneficial to society. Low moral values. Toxic work culture where managers exploit employees like slaves, office politics and low wages compared to work hours. Selfishness is the worst attribute of Indians, and you have to accept that Indians are damn selfish whether you like it or not. Those few videos on the internet by foreigners where vendors dont take money from them are BS. Indians love validation from white people (no offense). There are so many issues and no one is concerned. India is not going to get better for the next 15 to 20 years for sure. Be busy fighting among yourselves while the ones that actually want a better life go abroad leaving all the trash behind. And dont even get me started on the education system.",0,0
30,2023-11-09T04:42:32Z,@karanzaveri6369,"Great video, eye opener for Indian citizens. I hope the decision makers see such videos and make necessary decisions for improvement",1,0
31,2023-11-08T10:37:26Z,@nmew6926,Even being poor India was happy in the 1980s. Why.. Because China was also dirt poor. But now it's no more.,0,0
32,2023-11-08T10:23:17Z,@GarudAtma,"'India's poor education system and job training' is not the right line.  'India's worthless education system and job training' is the right line.   Another example, there are n number of jobs for high-quality researchers but expensive universities are producing (1000)n number of high-quality students with PhDs.  I am not counting (1000000)n of poor quality students, grad, PhD holders.    One more, the Poor are the vote bank, govt takes taxes and gives free rations to the poor who can breed more poor ...  No population control with dirt poor. Means more free rations, which means more tax needed to be taken who earn a little bit better. Entrepreneurs and the employed middle class are fined for earning money with heavy personal income taxes (40-50% of their income) with no gains, security, healthcare, or schooling as all policies are made to cater huge poor population. Then there are house taxes, road taxes, etc. Poor don't give any direct taxes.   From 2005, an educated was earning 10k, in 2023 the base salary for an educated is the same. Whereas uneducated but skilled labor is earning 3 to 6 times more.   Property prices in the cities (only cities have jobs) are insane. School education is so expensive, useless, and theoretical and gives nothing in return.   This means that Indian sensible youths are stopping from having children.  Famous word -> unemployment. There are 10 lakh (1 million) youth entering the job market. No way any govt can create employment for them.  Youth are doomed. Kids of poor, lower-middle class(50k/month salary), and middle class (80k per month salary) are doomed already.   Rich can't be pressured to pay more taxes, otherwise, they will leave the country.  There are simple solutions but vote bank poor and middle class will vote the govt out of power. So a minister depends on his community and focuses on his community only. This brings a divide in politics. In other words Indian public is dum",0,0
33,2023-11-06T12:24:46Z,@AD-tf2gs,"The lack of investment in Education and healthcare has always been mindboggling to me as an economics student. But I think this is what happens when the people in power are not very educated themselves. India is one of the few countries where the elites themselves are uneducated. As long as the political class is uneducated, nothing will change. They know intrinsically that educated people will not vote for them in 15 years once their education is complete.So they don't really care about it.",0,0
34,2023-11-05T07:59:59Z,@tanuj.mp4,"We elected clowns, now we have a circus.",1,0
35,2023-11-04T03:29:15Z,@SandiegoRockstar,"The problem with India is that if has a culture of using hate to motivate people. To create patriotism they had to create a permanent war in Kashmir with Pakistan instead of having a simple plebiside and peace. To collect votes, politicans create hate against Islam and minorities instead of offering development.",0,0
