,date,name,comment,like,replies
0,2023-09-29T11:14:06Z,@econYT,Hi! Awesome people of the internet. -Comments and suggestions are welcome. -Please share videos with people who you think might enjoy this content. -Don't forget to subscribe for more economics content!  You are awesome :),109,35
1,2023-12-14T14:21:41Z,@kampoengbatoe2699,"India is a developed country, and by 2024 will take over the US as the world number 1 superpower. The whole country (literally all cities, towns and villages) are vastly clean, modern and futuristic, with zero crime rate and absolutely zero pollution. Its capital New Delhi is well known as the cleanest city on earth. There are no slumps, shit-holes, ghettos or poor uneducated hungry people in any corner of India. Each and every Indian is dead honest - no need to worry if you drop wallet on the street, they will always return it to you untouched. India is totally free of beggars, thieves, scammers, thugs, mafia and gangsters. Its government is very clean, corruption-free and has consistently achieved zero unemployment for decades. Public transportation and infrastructure is always no.1 in the world. Public safety is way better than even country like Japan - very very safe for women to walk alone at night anywhere in India. Indian police force is remarkably professional, corruption-free and humane - they don't take bribes, they don't extort money, they don't protect scammers or organized crime, they don't rape male and female inmates inside prison cells, or beat ordinary citizens on the streets brutally with batons or long rods (like what you usually see on youtube). And at least half of Indian population (about 700 millions) are totally committed to support climate change by having a strong habit of pooing everywhere anywhere in open space everyday (not in toilets, there is no toilet anyway) to fertilize soil naturally and save water (no need to flush anyway, right?). Such amazing and fantastic achievements by Modi and his BJP in making India the world most developed country. Bravo Bravo Bravo.",0,0
2,2023-12-14T04:26:10Z,@emmanuelyorac8571,Yes!,0,0
3,2023-12-14T04:01:17Z,@user-fjy0839CN,"I'm Chinese, and I think every country has its own development trajectory. Data is only one aspect, the people's experience is also quite important. Im living a good life in China, and I hope that India can also develop its own unique culture and characteristics. I hope I can travel there to try the unique food there and experience India's own culture.",0,0
4,2023-12-13T17:45:49Z,@bishwajitsinha9653,My hand here OBS,0,0
5,2023-12-13T07:44:01Z,@user-si9xk1mg1o,No,0,0
6,2023-12-12T16:21:29Z,@alpddar2518,Except the fact that India will be divided into 20 countries once people have their basic needs satisfied and gain some political consciousness. They can try harder to impose some Hindutva mindset to consolidate their central authority but I dont think the diversity is managable.,0,0
7,2023-12-12T09:09:30Z,@neerajrajsoni5959,I dont want India to be superpower and bla bla. I just want India as a happy nation                    By Ratan TATA,0,0
8,2023-12-12T05:54:09Z,@IrvanAbidin-cy1lj,Delusional,0,0
9,2023-12-12T04:23:39Z,@action_potential7443,"A lot of chinese bots in the comments. Despite their enormous pride, nobody can name a chinese scientist or a chinese technology. The chinese are just masters of copy-paste and reverse engineering.",0,0
