,date,name,comment,like,replies
0,2023-08-20T14:34:29Z,@ThinkSchool,"You can learn Website Development from Apna College using this link -  Join New DELTA Batch : https://bit.ly/3snpY7G  for International Student (payment link) - https://buy.stripe.com/bIYaEQ9beek610sbIS ---------------------------------------------------   Details about the Delta 2.0 Batch :  - Start Date :  31st August, 2023 - Alternate day lectures (at 8PM) - Duration - 4.5 months - Each Class duration : 1.5 hour-2hour (alternate days) - Access to the course is for 2 years - Complete Frontend Development with HTML, CSS, Javascript & ReactJs  - Complete Backend Development (NodeJs, ExpressJs) - Complete Database -( SQL & MongoDB) - Complete MERN Stack (MongoDB, Express, React, Node) - Real Life and Industry Grade Projects - Live Mentorship Sessions  - 500+Topic Videos  - Certificate will be given on Completion. (Taught by Shradha Maam)",103,40
1,2023-12-12T07:36:37Z,@mohanayare,"\""Padhega India, badhega America!\""  This Braindrain ecosystem is the biggest 'silent' scam of Congress.   Thankyou for covering this topic",0,0
2,2023-12-03T19:58:07Z,@unknowndaddy4587,Thanks hope this reaches a lot of people . We need to address this issue ASAP,0,0
3,2023-12-02T13:37:17Z,@-R-B,Because we have people who study here and then gets good jobs outside...this part is fine... Everyone should strive for good jobs... Only issue is when these chutiyas think India is not good...this part is the issue..,0,0
4,2023-11-26T08:36:11Z,@codelunatic,"Having worked extensively in the West and now running my own business in India, I've observed a stark contrast in attitudes towards entrepreneurs. In the West, there's a celebration of the entrepreneurial spirit and risk-taking. Conversely, in India, there's a prevalent mindset that views business owners as unscrupulous, and profit-making is often seen negatively. This perception creates numerous obstacles in running a business, with a labyrinth of licensing requirements and widespread bureaucratic inefficiencies. Instead of focusing on actual business operations, a significant amount of time is consumed in 'managing' these systemic issues.",0,0
5,2023-11-22T15:45:34Z,@Gd-jq6mz,I'm an IITIAN and the mentality is changing fast more of my peers want to stay in India.,0,0
6,2023-11-21T00:35:36Z,@PG-jv5nw,British ruined India economically but who ruined Indians socially and culturally. It's caste discrimination invented by great geniuses of India who were being proudly followed by upper caste in India. You need to root caste from our society and then see how quickly we will progress.,1,0
7,2023-11-19T18:21:10Z,@chiranthanmr,"When I interviewed in India after my bachelor's, I was offered same salary as a mechanic who studied till 10th grade. Anything better, you needed to know someone already at a high position. Tried establishing a start up. But it felt impossible without bribes. Left to USA and turned my life around. But I will be back to help those who are struggling with jobs while also being talented.",0,0
8,2023-11-19T06:56:13Z,@vsssa1845,"as an NRI, I found the quality of life, freedom, and Dignity of Labour in western countries is in comparable to India and they actually value our work and reward accordingly. In India management is paternalistic and there is a lot of risk involved if you want to take a break from work.",0,0
9,2023-11-16T16:19:06Z,@MrSayan94,"Sad to see \""What a waste of resources\""",0,0
10,2023-11-16T08:10:51Z,@SaiKumar-jz3pq,tax ke bhi ek reason bro,0,0
11,2023-11-14T13:48:41Z,@apurvaaeron,"This is just dripping bad blood from an ocean of it. So, it's not even worth thinking about.",0,0
12,2023-11-13T16:56:28Z,@poornimashukla9292,I think it's not just about the mismatch in the skills but also the environment of the country is getting toxic. There's a lot of polarisation and one of my Muslim friend said she won't be living in india after her bachelor's degree.,0,0
13,2023-11-12T04:14:55Z,@abhishekbalam8915,"There aren't enough jobs for people, how is a brain drain an issue?",1,0
14,2023-11-04T11:55:04Z,@ThatGuy-es8xt,"Competency of average Indians must be improved to solve this issue and education is the only way to do that. Cost of training a student in IIT and other government funded colleges must be recovered from the student either through college fees or later through her job salary. Lastly, students should stop blaming the system and must work on their own to have a good & fulfilling career.",0,0
15,2023-11-03T03:43:24Z,@ashish27461,Great content! But you seem to have missed one of the major reasons which is deplorable work conditions and environment even after getting good skills.,3,0
16,2023-11-01T04:22:59Z,@arnabgoswami522,"India, the land of diversity and unity Where many cultures and religions coexist peacefully Where ancient wisdom and modern innovation meet Where history and heritage are cherished and preserved  India, the land of beauty and grace Where natures bounty and human creativity amaze Where mountains and rivers, deserts and forests, beaches and islands Offer a glimpse of the sublime and the divine  India, the land of courage and resilience Where freedom and democracy are valued and defended Where challenges and struggles are faced and overcome Where progress and development are pursued and achieved  India, the land of dreams and aspirations Where millions of people seek and create opportunities Where education and empowerment are the keys to success Where hope and optimism are the driving forces  India, the land of love and harmony Where compassion and kindness are the essence of humanity Where tolerance and respect are the pillars of society Where peace and happiness are the ultimate goals",0,0
17,2023-11-01T03:28:07Z,@lobsangkhedup4377,"To fix this problem India needs educated leaders,educated political parties like AAP. Indians are one of the most educated people in the world but India has a most uneducated leaders in the world. Thats the problem of India.",4,0
18,2023-10-31T11:19:59Z,@user-kq4tk5nw6m,Facing inside pain,1,0
19,2023-10-23T07:29:46Z,@dhavalpatel4817,What if out of 100% students only 10 to 15% of them start investing in INDIAN MARKET AS indian economy is going to boom in next decade  Can you please make a video on this idea particularly t attract more money in indian market,0,0
20,2023-10-20T18:03:54Z,@shaukatkhan1354,"Indian politicians are foolish, corrupt, never valued talents and merits. Hypocrisy,",1,0
21,2023-10-18T07:11:21Z,@sa34w,IIT grads are getting shot after joining Government organisation. Along with people electing uneducated politicians this happens,1,0
22,2023-10-16T05:09:32Z,@t5ruxlee210,"A post WW2, bankrupt, socialist ruled, United Kingdom, cast India adrift.  The miracle was not that India then made poor choices under its own version of a socialist government, it was that unstoppable India survived and even grew stronger despite both of them plus many other very serious challenges.",0,0
23,2023-10-15T21:18:14Z,@shyamchabra5355,Money.,0,0
24,2023-10-12T11:43:54Z,@00001111henry,Lot of  India youth students studying abroad searching jobs in western countries. Because the wages higher than India. Thats why India lost lots of talent people. Lot of Indian talent students applying green cards in USA .,0,0
25,2023-10-11T05:54:47Z,@rajeshkumarpanda7057,The source of think school is the print?? The purely leftists anti India journalist paper,0,0
26,2023-10-11T05:53:54Z,@rajeshkumarpanda7057,Can we put compulsory tax on IITIANs or Medical doctors who wrk abroad after studying in Govt colleges??,0,0
27,2023-10-11T05:51:18Z,@rajeshkumarpanda7057,TBh Think school kab se congress ka propaganda failane lagya bhai..IIT  nehru ne Nahi banaya tha and bhaiya socialist ko ab downfall ka reason bataya but tab nehru was socialist nahi bola.. hypocrisy ka b sima hoti hai,1,0
28,2023-10-11T05:44:27Z,@rajeshkumarpanda7057,"Indians economy is still bleeding Bec of the weak base created by our so called \""CHACHA\"" lehru..",1,0
29,2023-10-11T03:01:07Z,@shashankgupta144,"Your analysis is well-presented and comprehensive. However, it might be beneficial to include data on the remittances that India receives from its diaspora working abroad. This additional layer of information could provide a more holistic view of the economic dynamics. Additionally, comparing these remittances to the cost incurred by the government could offer valuable insights into the net impact on the country's economy. Keep up the great work, and considering this aspect could make your analysis even more robust!",0,0
30,2023-10-10T13:48:13Z,@srinitaaigaura,The biggest commerical draw is the exchange rate combined with very low purchasing power costs in India which means any money earned abroad becomes much bigger bucks when converted into Rs.,0,0
31,2023-10-10T13:45:10Z,@srinitaaigaura,"India overall still thinks like a poor quota based uneducated labour country, not an innovative research oriented one.",1,0
32,2023-10-10T13:41:47Z,@srinitaaigaura,"In India education won't help you build dreams - it won't even help you learn how to screw in a light bulb. People respect it on paper but not in close quarters. The conservative culture of India is anti innovation by default. People need you to be Yes men and cheap labour.   Also research and development in India is practically non existent, and even the few good ideas that are incubated struggle to scale up into a big industry. Just look at our R&D budget. Overall the society treats merit badly and better opportunities and much more money are available abroad for both studies, research and business. No way Sundar Pichai or Satya Nadella could have risen under this ecosystem.",0,0
33,2023-10-10T06:56:49Z,@positiveboy6485,"Please Stop Doing These Political Analysis Bro.Please Do Your Strength Side Video Viz,,Brand Analysis and Lessons From It. Please We Have Plenty Of Channels To Do Political Content Rather Than Case Studies Like You.",0,0
34,2023-10-09T19:37:09Z,@Aswinrama,"Lets get this straight. Poor education and work environment are some of the problems. People leaving India and finding work abroad is NOT a problem, its just an alternative solution. Lets look at some of the key benefits here -  1. $100bn remittance annually - We export people and reap dividends like no other country. This has been a tremendous help in lowering our current account deficit.  2. Lowering unemployment in our country - If I am an engineer working in a company and leave abroad, another person will replace me. Because I left, another family is able to feed themselves.  3. Growth in exports! - When we move to another country, we become consumers of Indian products/ services. Be it movies, cricket, Indian food brands etc.  So this situation needs to be evaluated from alternate angles too. Keep in mind, we take loans in India to study abroad and repay that loan in India from what we earn abroad, so every penny flows back. Jai Hind!",0,0
