,date,name,comment,like,replies
0,2023-05-05T15:32:26Z,@BeerBiceps,Check out my Meditation app: Level SuperMind https://levelsupermind.onelink.me/CsSR/youtube  Join the Level Community Here: https://linktr.ee/levelsupermindcommunity,657,219
1,2023-12-08T07:59:13Z,@SaurabhYadav-qj1ct,"Your English is though ,,,or we can say legal language is though ,,,that means we need to work on my english",0,0
2,2023-12-08T06:06:35Z,@bhagyashreesingh491,Great podcast.. very detailed intense discussion..and very true and relatable. I like the sharpness of Mr. K.Sai...thanks ranveer for a great podcast,0,0
3,2023-12-07T20:55:21Z,@aritrachanda7818,Bro How TF u don't know Shashi Tharror...U MUST GET HIM ON A PODCAST ATLEAST ONCE,0,0
4,2023-12-07T18:56:05Z,@nankogujarat4855,"07:15 \""Most of people focus in me that my English\"" I'm also one of them ",0,0
5,2023-12-06T15:28:04Z,@energeticram9915,Burn me please is pure goosebumps,1,0
6,2023-12-06T03:56:27Z,@bimlakaul9823,"J Sai Deepak is mesmerizing! I was glued to this podcast. His thought process is so unapologetically clear. Thank you, Ranveer, for bringing him to the show and steering this interview in a very capable way.",4,0
7,2023-12-05T10:29:48Z,@soorajnarayan5087,when he told annamalai... I got goosebumps..... bro u need to do a podcast with annamalai man....,4,0
8,2023-12-04T19:08:43Z,@LetsKnowMore..,looking forward to watching more lawyers on the podcast!!,2,0
9,2023-12-04T17:10:54Z,@adithyareddy8120,Deepak ,2,0
10,2023-12-04T10:16:17Z,@tshewang2403,Goosebumps,2,0
11,2023-12-04T05:18:02Z,@sunyrj25,He will be the Prime minister of India in next 20 years....,0,0
12,2023-12-04T04:38:35Z,@loadingrahulsaha,"Crystal clear thinking , crystal clear understanding!",1,0
13,2023-12-04T03:58:08Z,@shaileshsingh1536,Host is immature stupid . starts talking in between about himself and his stupid understanding of matters . totally diluting topics .,0,0
14,2023-12-03T18:10:26Z,@professor.R,12:10 farhan Akhtar like 'muje Kyu pela ',0,0
15,2023-12-03T11:20:43Z,@severussid5856,We need him to be the leader of our country. By the next decade or two he might be contesting. The only hurdle is that none of the parties are unbised or centrist enough. Lets come together to shed the fetters of conspicuous inclinations baseless in the very interest of tommorow....rather today itself.,1,0
16,2023-12-02T21:53:53Z,@techtronsurfer1605,Tombstone saying burn me please was just hilarious!!,0,0
17,2023-12-02T13:45:26Z,@sumonsinha8377,"Ideally if Sai Deepak was sitting in front of me, I would shut my mouth and if even if my thoughts chatter I would hesitate to blurt them out.  Atleast keep unnecessary words away from the conversation. For someone who is so experienced  like Ranveer, I expect him to put an effort to match the language and jargons and frequency with the guests. The guest should speak in his way. Ranveer should accommodate.  And given that how open minded is Ranveer, he should care lesser about political corectness. It increases the amount of unneccessary words which the guests and the viewers have to process.  Also now at this age and after having so much worldly experience,  Ranveer won't get his curiosity satisfied by people but if he himself goes on a quest himself, asks himself, and meditates on his doubts. Ask only those question that will help other humans in their growth, not boost their ego. Thanks.",1,0
18,2023-12-02T07:57:51Z,@viveklily,"This guy needs to be preserved,mummify him like a pharaoh for generations to adore himwhat clarity in thoughts. brilliant",0,0
19,2023-12-01T13:44:57Z,@WiShFuLDiVA,"Bharat has been way too kind with other religions despite having the highest major population of Hindus. As much as it is necessary to be kind and hospitable and what not, we also need to understand what makes a particular religion exclusive - and that includes a clear understanding of both the insiders and the outsiders. Insiders can be considered as the original natives of a particular nation (which shouldn't include people who later claim to be natives when the situations seem favourable for their selfish needs). Outsiders can be considered as anyone who chose to walk out of Bharat during partition, who absolutely don't deserve to come back to Bharat in any shape or form. This idea needs to be clear in every Hindu's mind. Sanatan Dharm has been here before any other religions that ceased to exist later and attempted to claim superiority over Hinduism. Bharat will regain its power and influence all around the globe from every aspect possible. Accept it, or deny it - it is approaching and no one can stop it. Jai Bharat. Om Namah Shivaay. Jai Maa Kali. ",1,0
