,date,name,comment,like,replies
0,2023-12-09T14:50:19Z,@supreme5355,India number 1,0,1
1,2023-12-08T11:38:46Z,@innocentharry8340,Pagan garbage,0,0
2,2023-11-28T18:38:28Z,@somedude6853,Beautiful culture,0,0
3,2023-11-28T05:53:53Z,@maheshkumargautam6720,"A most important social issue has been raised by Al Jazeera English and need of the hours which needs attention from the all the stake holders including Govt, Ngos, community development etc.",0,0
4,2023-11-22T20:30:40Z,@user-vj6us1nn9q,Their lack of Hygiene and shame offends me.,0,0
5,2023-11-22T17:26:52Z,@NikhilKumar-lx6yu,non Indians in this comment section still living in 2010,1,0
6,2023-11-17T03:23:33Z,@kumardickshit1530,India be like ,1,0
7,2023-11-14T08:06:03Z,@michaelgrey7854,Gross,0,0
8,2023-11-12T17:17:19Z,@sahilrajpal5604,Which place is this,0,6
9,2023-11-11T05:29:13Z,@wow-3,It's Hindu ritual every morning they bless God of train ,1,0
10,2023-11-01T02:39:36Z,@katniss3181,That says a lot about their priorities. They can afford an indoor toilet if they can afford to buy a phone. The truth is that open defecation is a cultural thing in India and many do not see anything wrong with it.,4,0
11,2023-10-29T10:21:38Z,@ashokkumar33466,80% hindu country,1,0
12,2023-10-22T09:34:08Z,@hadouken47,india is the most super pooper country in the world ,3,0
13,2023-10-21T18:40:22Z,@Tunisianbeauties,Israel supporters ,5,0
14,2023-10-17T12:06:03Z,@tanzeemudkeri4263,,0,0
15,2023-10-10T04:00:02Z,@faridyazid.,,0,0
16,2023-10-04T16:51:31Z,@TrickXxl,Thats why British left india,5,0
17,2023-09-12T16:23:36Z,@Zen2k4r-,Quick blame the British,3,6
18,2023-09-10T12:12:09Z,@ardian777,Wow india ,0,0
19,2023-09-01T13:26:15Z,@Jimmyboy1674,Wheres the men? Get off your arses and build! Government spends on submarines and a space program! losers! Get a grip of your country! Its not the Governments job to clean up after you!,5,6
20,2023-08-27T10:43:58Z,@Sochta_Hun_Raatbhar,I went to Bangladesh few years ago same problem like india people were pooping there,0,0
21,2023-08-22T00:29:57Z,@badboykilla7747,wtf this is my country newz ,1,1
22,2023-08-11T08:51:31Z,@dylsondandregsnannnirs7807,"Nooonn meee neee freggaaaa un caaaaaooooooohhhh, non meeeeeh nee freeegaaaaaahh unnnn caaaaazzoooooooooo!!!",0,0
23,2023-08-09T16:43:36Z,@billlam7756,Disgusting nowonder why the mongol and chinese or anyone else wanna conquer india ,2,0
24,2023-08-05T08:42:07Z,@Prudhvi268,Indians : Jai Hindh  Reality Very dangerous,2,0
25,2023-08-04T14:56:51Z,@vernehetzel5411,"I thought africans are dirty, but well, indians are more.",10,4
26,2023-08-04T11:13:29Z,@Statupalmambarbacot3345,even the Romans had public toilets... great nation this is,2,0
27,2023-07-31T19:31:49Z,@pnrd24k,Disgusting country and culture,10,0
28,2023-07-26T22:43:00Z,@john-on5jp,Dirty mofos ,4,1
29,2023-07-23T14:28:10Z,@jihanalmira222,"dirty country, corruption, sexual violence, racism, etc. wow, india is bad in every way. the only thing they are good at is scamming and lying",6,0
30,2023-07-23T05:56:22Z,@emiliagraham5335,India is also a toilet,4,0
31,2023-07-19T16:39:24Z,@LinduismIsTrash,Waw sarr! Praud to be Endian! ,6,4
32,2023-07-13T19:25:43Z,@user-yz9bb4hs2s,13 ..  .,5,4
33,2023-07-12T11:45:11Z,@GOLDROGER-xt3bx,Super power ,2,0
34,2023-07-02T04:05:39Z,@UrssOfficial.,Wtf,2,0
35,2023-06-30T18:32:52Z,@sarthakkumar8679,obviously scenes are completely different now    totally opposite,1,0
36,2023-06-25T01:34:02Z,@fatboy18733,Sad,0,0
37,2023-06-21T10:29:01Z,@dreamer2675,Toilet less nation.,8,3
38,2023-06-13T10:54:36Z,@therealsuccess990,Hahaha Pakistan Is far better Then India ,8,2
39,2023-06-12T01:14:34Z,@clintzieandromeda6216,This is why India will always stay filthy and disgusting. I'm glad I'm not from that country.,2,0
40,2023-06-06T07:46:07Z,@23v0lv32,Filthy,0,0
41,2023-06-01T06:56:44Z,@amairaaanuja5141,"Congress govt .  Now INDIA is 5th largest economy. We almost only 2% open defecation .   Nice try al jazeera toh defame INDIA . How much you try ,you still cant make INDIA an Islamic country",5,3
42,2023-05-28T08:56:18Z,@serbiansoldier5923,Gypsies,2,0
43,2023-05-27T22:23:28Z,@williamdavis9562,Makes you really want to take a vacation there.,0,0
44,2023-05-26T12:35:55Z,@kapandaabubakar90,The government need to build toilet public for cheap price like 1rupie remember the poor please,0,0
45,2023-05-26T09:17:43Z,@Proudaussie,Wow so this is what I*dians are proud of  What beautiful shith8le saar gay hind!!,6,0
46,2023-05-24T09:52:08Z,@weebros5286,I can smell the air of india just by looking at this video ,0,0
47,2023-05-22T13:43:30Z,@theliewelive2066,Super power india. India no 1 ,6,1
48,2023-05-21T21:37:35Z,@ahsanurr4219,North Korea is cleaner despite being a poor and authoritative country,17,0
49,2023-05-17T13:58:51Z,@ZyanFernando,Jai gangdesh mautri,2,0
50,2023-05-17T13:58:21Z,@ZyanFernando,5000 yrs ol Kulchar sar,1,0
51,2023-05-17T13:57:14Z,@ZyanFernando,Aur inko Kashmir chahiye LOL,4,5
52,2023-05-08T15:23:07Z,@chrissymcintire3513,"the issue isn't poverty , it's the mentality / mindset from their arbitrary oppressive caste system , Africa is very poor too but still a heck of a lot cleaner than India",133,8
53,2023-05-05T13:59:48Z,@elchicano187,,2,0
54,2023-05-02T05:05:20Z,@streetpooper,vedio by pakistan to make hate for india,3,6
55,2023-04-28T06:42:31Z,@YouTubeAreCommunistScum,Good thing most took the jib. Soon we will be rid of these filthy animals. Too low IQ to grab a shovel and dig a big outhouse hole.for themselves. Bye bye u failed the worthy to be alive test,4,0
56,2023-04-23T02:41:09Z,@88paths32,Superpooper india,7,0
57,2023-04-19T00:59:30Z,@dwightmcqueen5771,Sad some of those Indian girls are really  beautiful,2,5
58,2023-04-15T11:09:45Z,@ritajoshi29,Indian politicians ka paise jaa rha farmhouse bnane mein,1,0
59,2023-04-14T14:50:19Z,@JadenFolster,Theyre probably a bit elevated above the actual ground at this point,2,1
60,2023-04-13T03:49:29Z,@dzmarinemechanics3238,I would never visit india ,8,2
61,2023-04-09T08:02:52Z,@sirji2915,These are some durty slums.... Not whole india like this,2,3
62,2023-04-05T00:15:01Z,@jimmy_x557,India man...,1,0
63,2023-03-26T11:40:33Z,@anonymous-lu2km,Thanks to allah im not an endian,2,0
64,2023-03-26T09:55:41Z,@vanlin9107,This is freedom,1,0
65,2023-03-21T18:24:48Z,@barns7506,I feel sad for the kids,3,1
66,2023-03-16T08:29:30Z,@abubakarcoulibaly-td8rq,"Build people public toilet I,m not joking it can bring dises my beautiful people ",0,0
67,2023-03-07T14:22:34Z,@shaundachambers1483,I wonder how the Indian leaders live,1,6
68,2023-03-04T03:39:33Z,@THELASTWORKINGTOILETOFINDIA,Hindu culture India is 80% Hindu majority country.,11,1
69,2023-03-04T01:55:36Z,@jonnysins1675,And its 2023 and still Indian Muslim pop out in public,0,0
70,2023-02-23T22:59:28Z,@carlo3486,I took the overnight train from Kolkata to Delhi in Dec 2014. The train had a technical stop just after sunrise and the first thing I saw from my window was a couple of kids and an adult defecating on the rails. I was gobsmacked.,12,1
71,2023-02-23T13:17:33Z,@AgentQQ8,"More Indians have access to mobile phones than toilets.  LoL. Yeah, thats an issue.",5,3
72,2023-02-20T04:37:39Z,@mehfilemustafa245,This is so disgusting ,4,2
73,2023-02-17T04:01:41Z,@glamingdsd,i am proud of indias culture!!!!! number 1 all are jelus of my india hahahaha,5,1
74,2023-02-12T00:06:24Z,@rogerdildeau7507,The Anti Defecation League should step in.,1,1
75,2023-02-11T19:21:02Z,@mondariz6,Cholra....,1,0
76,2023-02-11T19:19:38Z,@mondariz6,,1,0
77,2023-01-24T01:57:57Z,@khanwali6728,hindu chytiya toilet less country,2,1
78,2023-01-22T22:21:57Z,@alessandroforti6544,I AM A DOTTOR ....,0,0
79,2023-01-20T03:12:17Z,@sykeil6251,The bomb has been planted,1,0
80,2023-01-17T05:42:58Z,@abdullahairar41,31% out of 100% are access toilets??,5,0
81,2023-01-03T03:14:53Z,@GuyFromPakistan-,Black ases of dirty indians,9,1
82,2023-01-01T20:57:17Z,@Exe3D,If toilets are so specifically necessary for women and children why wont women build it. 1:54,0,0
83,2022-12-29T07:26:21Z,@Proud-NEPALI,"My small Nepal is much more cleaner, greener and hygienic than india",10,0
84,2022-12-26T05:08:18Z,@markralph4739,Dirtbag of the world.,5,0
85,2022-12-24T10:06:46Z,@nullx7,What a lovely place to visit! Thats why indians are proud of India,178,20
86,2022-12-20T16:58:30Z,@dinidini1225,THE MOST HOLIES PART OF HINDU TEACHINGS,57,10
87,2022-12-19T05:09:48Z,@Cool-ej7gn,india is and will remain a poverty ridden beggar sh*thole country because of filthy disgusting idiotic mythological BS fake religion linduism,4,0
88,2022-12-17T15:18:16Z,@Ma_0fficial,They arent gonna build toilets themselves can we crowdfund them some loos?,3,0
89,2022-12-16T13:41:34Z,@AA-ke5cu,Cell phones and computers given to savages everyone is an instant expert all of a sudden.,0,0
90,2022-12-14T04:58:07Z,@TheKashTrap,Relax guys 5th largest economy hai ,2,1
91,2022-12-01T00:55:22Z,@jetbllackwings,update: still no toilets in india,39,5
92,2022-11-19T13:44:57Z,@t.t7910,Subhumans,5,0
93,2022-11-16T07:52:07Z,@glamme345,Informative video,0,0
94,2022-11-07T07:00:43Z,@mechagojira2731,Hindhus are unhygeinic,4,0
95,2022-10-26T19:47:22Z,@HoHoMoMoo,,9,0
96,2022-10-21T23:27:43Z,@AkashSingh-wv4dq,Illiterates commenting about current situation by comparing it from 12 yrs ago video....currently pak is toiletless ind have controlled this situation even pak pm said the same,3,8
97,2022-10-15T19:29:06Z,@muztard3160,Lmao  purely zero waste country,7,0
98,2022-10-14T21:18:19Z,@lucasdeville7367,Oh look..A snickers bar,6,0
99,2022-10-03T19:57:19Z,@jungleebushcraft,India... where sh!it happens...,6,0
100,2022-09-19T01:29:08Z,@memeniamemes8191,Thank god I am not Indian ,175,37
101,2022-09-13T11:06:05Z,@kalinga2nihon,"2010 was the year which marked the beginning of major changes. Now we are in 2022.  (1) Mobile internet became widespread and the country moved towards a digital era, now having the cheapest data rates per GB in the world. Internet penetration increased from 7.5% in 2010 to 60% in 2022. (2) Trains and Railway stations were modernized. Now there are semi-high speed trains and airport-like stations. Then only 2 cities had metro/subway, now 15 cities have a metro/mrts system. (3) In 2010 only 35% of the population had access to a toilet, now in 2022 more than 99% of the population has access to it. (4) India ranked 27 in Crime Index in 2012, now in 2022 it has dropped to 79 with public safety being improved day by day.  All these data are available online. It takes a broad and unprejudiced mind to learn about the current state.",1,3
102,2022-09-04T14:40:51Z,@dmqn3135,Apparently 11 years ago is present day now according to you lot,1,2
103,2022-08-02T03:56:16Z,@YiLongMuskChinese,"We have made in China , India is still building made in India toilet",8,0
104,2022-08-01T04:29:31Z,@servantofthealmighty705,,0,0
105,2022-07-25T06:51:05Z,@dmqn3135,"99% of India has access to toilets today, why is everybody still using this to indult Indians?",5,11
106,2022-06-18T14:54:18Z,@HelloSirHowCanIScamYouToday,Even some animals know they shouldn't defecate close to their species,28,0
107,2022-06-11T20:42:08Z,@asifawal8710,Haga,0,0
108,2022-06-05T21:13:34Z,@dennisvu9346,"I was in India April 2022, sadly people were still pooping in the open.",110,46
109,2022-06-05T18:51:30Z,@Lindsey_Lockwood,Street poopoo makes up 65% of the culture in India. If they take away street poopoo what would they have left in terms of cultural activities?,16,11
110,2022-06-01T09:35:59Z,@drowranger6767,India: Super pooper by 2025,9,7
111,2022-05-28T06:41:58Z,@Dyn0Official,"Why is Al Jazeera showing negative, how shameful is this media. Now everyone have toilets and internet and everyone is middle class not poor so shut up and stop the negativity",2,2
112,2022-05-23T09:55:34Z,@snipergirl3176,1:10 buy phones instead of toilets. Film each other pooping outside for YouTube views. More buy phones instead of toilets to argue with foreigners online who mock them. Repeat cycle.,6,3
113,2022-05-18T17:35:45Z,@Dyn0Official,Now everyone in India has Toilets,4,3
114,2022-05-07T08:52:02Z,@shakhawathossain7537,World super power of the world rendian ,4,1
115,2022-05-03T18:48:24Z,@alexalexandersen5198,Russia Siberia 2,1,0
116,2022-05-01T06:28:11Z,@moyai8508,"According to 2019 data, 98.21% of the country has achieved ODF Status and has full access to toilets.",24,19
117,2022-05-01T06:27:00Z,@moyai8508,People here are just racist nothing else so dont worry.,2,0
118,2022-04-27T13:11:13Z,@HarryPotter-ml7wl,This video is 12 years old now more than  99.9% Indians have access to toilet,3,5
119,2022-04-26T15:52:46Z,@kanodunk1719,this is a real sh*tty situation,1,4
120,2022-04-26T02:50:45Z,@turritopsisdohrni4681,Whatever you seeing now is from north India please visit south definitely it will change ur misunderstanding about India,0,0
121,2022-04-25T04:27:16Z,@broadlover69,"UNICEF declared Bangladesh has 99% access of toilets in 2014 But sanitation: hygiene toilet, hygiene water and maintaining hygiene are still 80% That time India and Pakistan were 30% Bangladesh has amazing social improvement At least people are more aware here",60,10
122,2022-04-18T17:51:56Z,@jarrodyuki7081,pakistan should nuke india.,3,0
123,2022-04-17T22:32:40Z,@hamzaalmdghri8741,These are the indigenous Darvidians in India not the Indo-European Aryans,0,0
124,2022-04-11T01:45:42Z,@Rippenhengst,Disgusting!,0,0
125,2022-04-10T04:45:18Z,@38nguyenacminhtri37,0:11,0,0
126,2022-04-01T15:23:03Z,@thejomker529,Those who are saying that India Is Still suffering from this problem First of all go and do some research about this  According to a report of frobes 99% of the population in India has the access of toilet in 2021 So when you achieve something there will be your haters who will get more jealous of you.,5,2
127,2022-04-01T15:14:17Z,@thejomker529,But things are totally changed in 2021 98% of the population in India has the access of toilet.  And I am watching this in my toilet ,2,2
128,2022-04-01T02:43:14Z,@abrahamlincoln6704,Goo Super poOper indiiaaa 2030,3,0
129,2022-03-25T16:59:09Z,@RCGemblung,"I can't believe it is 11 years ago.. I believe it's just today 2022. And always, maybe.",0,1
130,2022-03-24T12:19:45Z,@Albertic_II,Grateful to Live in Indonesia.,17,0
131,2022-03-13T11:15:36Z,@RAFAELMALDONADOcano,Where is the Magog- magician to solve toilet problems,0,0
132,2022-03-06T01:28:59Z,@jesuschristtheslayerofpaje4009,To all indian India will never get rid their Sanitation crisis India has a billion population and a small land,4,2
133,2022-03-05T18:43:37Z,@goberindain299,Indain new gober bom  ,5,1
134,2022-02-27T13:08:24Z,@blueflame3531,YOUR ARE MAN NOW U MUST CHOOSE BETWEEN BUTIFUL TOILET OR DESIGNATED STREET,1,0
135,2022-02-24T07:43:22Z,@anti-minorizeranti-shita4249,India is an ultracapitalist nation.,2,0
136,2022-02-21T05:01:21Z,@sarants4488,And now as of 2019 98.21% of Indian house holds have toilets....a lot changed in the past years,2,2
137,2022-02-06T10:37:44Z,@ukbd3054,And india proud about it ,4,0
138,2022-02-03T21:14:20Z,@rafasoto3717,God bless America.,3,0
139,2022-01-30T12:46:59Z,@almatymalayali5668,Still there is no change In This Place ,82,14
140,2022-01-18T23:15:02Z,@22alfatih,It seems that they don't get clean or wipe at all.,3,5
141,2022-01-15T04:35:59Z,@broadlover69,Sopoop power India,0,0
142,2022-01-07T13:16:14Z,@moyai8508,This was 11 years old keep in mind.,0,4
143,2022-01-02T03:00:16Z,@chernobyl3030,Wow what a great government ,5,0
144,2021-12-25T19:37:19Z,@Cobbido,Couldn't they at least dig holes?,1,1
145,2021-12-20T08:21:04Z,@asadopgaming7419,Toilet less India next super power with out toilets  it's super poor ,9,3
146,2021-12-19T08:09:24Z,@finn3102,"If you live in a western country like the U.S., Canada, Germany, Australia etc.. this is probably new to you. When you need to go, you have a comfortable toilet to sit on. Which flushes and sends your waste on it's merry way to wherever. You then can wash your hands with hot & cold running water at a sink. These things are luxuries to many Indians. Even though the Indian government claims that most Indians have toilets. You have to ask what kind? Is it just a hole in the ground?. Ask how many Indian homes have running water and are on sewage mains?",66,12
147,2021-12-11T15:12:29Z,@truthhurts5564,Can't stop laughing how these corrupted media only shows the bad part of india..,4,0
148,2021-12-05T16:57:37Z,@cappycapyt,"India now has 95 percent toilet acess cry west keep critising india, later you will cry more on seeing ur country and comparing india",3,2
149,2021-12-01T23:28:07Z,@Raja.69,Allah ki kasam sab jhuth,2,0
150,2021-11-27T22:35:32Z,@Relak_Singh,Ho u r say that about INDIA!! V R number VUN cuntry in Vurld!! 99% of NASA engnere is Indian!!! WHOSE AGRE???,3,1
151,2021-11-25T15:40:36Z,@Bangladesh67345,india dirty country,9,3
152,2021-11-17T18:03:13Z,@satt3922,"31% is a huge exaggeration, dude majority of Indians have toilets. the question doesn't even rises in 2021 since 95% of the households have toilets in india and 98% of population according to UN",0,3
153,2021-11-16T20:03:25Z,@hasu4082,India toilet,4,1
154,2021-11-15T10:32:44Z,@raamponnurponnur7623,11 years old video ???,0,0
155,2021-11-09T11:48:07Z,@ropicfds4288,,0,0
156,2021-11-05T06:39:01Z,@basicallyapotato5410,"Video: **crosses 11yrs** some Boomers: \""omg india is filthy, i love my country\"" me being indian: **watching and enjoying video in my toilet**  PEACE :D",12,7
157,2021-10-27T08:05:05Z,@wilfredoestrella7779,Where are Proud Indian comments  hahaha,13,7
158,2021-10-26T19:58:15Z,@enriquelopezderodrigueziv7604,Than God I was born in spain,4,0
159,2021-10-18T08:59:39Z,@shagorrahmanniloy8758,Wah wah indian wah,0,0
160,2021-10-11T21:03:49Z,@skyman_0198,Filthy,3,0
161,2021-10-06T07:30:27Z,@Hinduslovecowpiss,Superpooper 2021,9,0
162,2021-10-04T17:58:45Z,@AR-bh3mn,Untung Saja Indonesia tidak Seperti itu.... ,14,3
163,2021-10-04T03:57:52Z,@HEHEHEHA-me7jd,I think Somalia is better than india India is Soooooooo poor country,2,0
164,2021-10-04T03:57:10Z,@HEHEHEHA-me7jd,Proud not to be born in India xD,3,0
165,2021-09-30T19:58:24Z,@patrickbateman6900,Dirty Country ,7,0
166,2021-09-28T18:09:57Z,@bsai3014,Tourist: Where is the toilet? Local: You are standing on it,198,17
167,2021-09-25T13:04:48Z,@darshitguptacumpadeep5179,by teh name of ganesh take dis anti nationel vedeo down we mghity indnians tigrers wil becum supparpowar 2025 we hav nuklar bumbs and freedum to poo everywhare yu r jusht jeloush of our freedum 2 poo.  i luv mai indea! Gay hind! ,5,2
168,2021-09-25T09:54:58Z,@mohussain1615,"Educate yourself about India. It's a \""country of mass poverty\""   \""Pew Research Center, using World Bank data, has estimated that the number of poor in India (with income of $2 per day or less in purchasing power parity) has more than doubled to 134 million from 60 million in just a year due to the pandemic-induced recession. This means, India is back in a situation to be called a country of mass poverty after 45 years.   The United Nations estimated the number of poor in the country to be 364 million in 2019, or 28 per cent of the population. All the estimated new poor due to the pandemic is in addition to this\""   498 Million Indians live in abject poverty yet India thinks it's Germany or the US. India needs a reality check. Shining India is all smoke and mirrors. Nothing but an illusion.   \""India is the No. 1 country in the world for open defecation, with over 344 million people without regular access to toilets in the country, according to 2017 statistics from the World Health Organization and UNICEF.   Hundreds of millions of people in the country end up defecating outside, which can spread diseases including cholera, typhoid and COVID-19.Poor sanitationin India leads to over 126,000 deaths every year from diarrheal diseases\""   India isn't a Super Power but it is and always will be the Super Pooper of the world!",2,1
169,2021-09-25T08:48:38Z,@shahzadaslam384,oh come on India and stop spending on weapons and improve your people lives    they are more important,1,0
170,2021-09-23T21:51:29Z,@SuperSanic..,even slums in my country has toilets. The slum dwellers builds the toilet themselves. They don't wait for govt intervention.,28,5
171,2021-09-23T09:37:13Z,@ramabaiapparao8801,What about disabled mentality Ill People . Politician fight for chairs money  wander like highly profiled they are not worried about their own kith and kin.,1,0
172,2021-09-20T16:02:09Z,@dmqn3135,This was 11 years ago you idiots,5,1
173,2021-09-18T11:38:27Z,@sumitmaran4858,"It is so difficult to control such a large population.  India was the richest country in the world in the 17th century, but after the partition of India Pakistan, many Indians became poor as they could not find jobs anywhere.  It is the fault of the British that they looted $ 45 trillion from India, if they had not come to India, India would not have been so poor.",8,1
174,2021-09-18T06:49:58Z,@siamkhan872,India is a pooper power. Not superpower ,4,2
175,2021-09-13T02:13:12Z,@minartv7508,70% don't have toilet. So does shahrukh khan have any toilet?,1,2
176,2021-09-10T18:59:44Z,@shahnazgull2000,And Indian media reports like they have no issues,3,1
177,2021-09-09T09:06:41Z,@Imrankhan-uq1du,The Indians that are so arrogant about their country need to see this.,5,0
178,2021-08-12T02:06:01Z,@onlinemathquiz3621,india is best u all jelous of my grate india,12,3
179,2021-08-09T00:02:52Z,@Soulmate784,its real face of india,10,2
180,2021-07-27T14:32:54Z,@bdeshiguy7407,,1,0
181,2021-07-20T06:19:03Z,@chrisrolfe6917,"\""As India steams ahead on the track...\"" Hahaha",28,5
182,2021-07-19T17:12:07Z,@OoiPaul,I guess they want to build toilets in Mars. ,6,1
183,2021-07-11T06:26:04Z,@eliasalqamar4970,How come one of the most important part of the house ignored by them? They can buy mobile phones but they dont have toilet? ,5,1
184,2021-07-04T20:24:30Z,@eliashki,Take the poo to the loo,9,1
185,2021-06-22T07:16:17Z,@afid5270,"And here it is \""the most religious country in the world\""",5,4
186,2021-06-21T03:46:22Z,@adamben-shimon7513,Its so disgusting to be walking down the street and you will see someone taking a dump on the side of the road. Why dont they make their own toilet? They just need to dig a deep hole and build an out house.,8,1
187,2021-06-20T12:49:05Z,@jinqiao5346,"Jai Endia toilet, superpoop 2021",8,3
188,2021-06-18T19:44:14Z,@talhajaved4990,Only 31 % Indians are with toilets Rest 69% that is over 900 million are pa jeets 30 million bhagwan in india and not even one able to produce toilets  And they call themselves superpower 2020 Thank you jinnah for Pakistan.,2,0
189,2021-06-14T03:33:27Z,@sammercia,This is a 11 year old video. India has 97.21% have full toilet access as of 2018.,3,7
190,2021-06-12T18:56:42Z,@Mach5Johnny,Rage Against The Latrine,8,0
191,2021-06-08T08:57:27Z,@tayyabrehman5043,Yuck ,2,0
192,2021-05-28T10:57:41Z,@mxgr194,"Sadly, such systemic filth drives racism against Indian people around the world. A reminder. It IS 2021, not the middle ages.",4,1
193,2021-05-27T21:41:14Z,@VipBoutiqueChic,"Lazy and dirty, instead of playing with a phone going and build toilets.",2,0
194,2021-05-18T15:00:43Z,@rizkyarap,"Where is the \""pR0uD tO Be iNdiAn\"" dumbass comment?",8,3
195,2021-05-08T07:27:54Z,@SM-qo9gr,"At this point, its more ecological to consider nuking them then to try to fix something. And the brits were oppressors",2,3
196,2021-04-23T05:03:40Z,@ojasaklecha,Hey my Indian brothers and sisters - Lets foreigners mock us no need to reply them our development will answer them..... Let them mock.... Let's be like China ( less talk more work ) no need to get offended with such freaking old vid.,3,3
197,2021-04-22T21:52:12Z,@kimmson6356,Some Indian kid said that India will be the next super power by 2030 then I showed him this,41,15
198,2021-04-17T01:51:32Z,@alifkosasih5259,enak ny,0,0
199,2021-04-08T21:22:25Z,@dynamn,"indian's immunity is astonishing, no wonder is next superpower to be",1,0
200,2021-04-07T07:34:46Z,@racunmancing6464,Boker menyatu dengan alam kwwkkwkwwk,2,0
201,2021-04-05T08:23:42Z,@audioteckltd5845,"Modi, Indians dear leader said every household have a toliets recently",2,0
202,2021-03-30T05:44:00Z,@lolreally5778,We should not do an*l with Indian pr**stitute,1,1
203,2021-03-28T12:39:10Z,@ncov-1948,O man...look at minute 2:18 ..other than you can enjoy the view there..you can also enjoy the smell and real process of defecation..  They squat side by side ..they must be very  comfortable with that,0,0
204,2021-03-28T12:37:11Z,@ncov-1948,..toilet must be very expensive thing there,3,3
205,2021-03-26T04:45:05Z,@dannay4052,OMG hello,0,0
206,2021-03-14T09:47:25Z,@You-us6qd,"Its the ultimate weapon of infia, worth billion dollars of research, and take years to develop it.",0,0
207,2021-03-13T06:54:26Z,@zulfiqarawan2660,Hello sar we india shuper pawar. Destray mislam and pakistan,4,2
208,2021-02-23T16:38:07Z,@sumreensultana1860,Lol this is outdated Now almost everyOne here have toilets,1,8
209,2021-02-15T14:19:53Z,@juliansyah6825,"Indian who live in America so arogan and selfish, now they feel embarraced when the world knows about their country.",3,0
210,2021-02-13T23:44:11Z,@bijaylama2173,This is the beauty of india,13,6
211,2021-02-05T19:30:40Z,@charles7075,Why India why.,2,4
212,2021-02-02T00:15:10Z,@harleychandra639,Normal day in India,1,0
213,2021-01-31T01:43:26Z,@MrChiRockk,I guess they never got potty trained.,0,1
214,2021-01-29T14:08:42Z,@eshfaq7564,,3,0
215,2021-01-12T14:49:10Z,@YT_Fearless,waah kya scene hai  waah modiji waah,7,5
216,2021-01-08T08:00:39Z,@mojibahmed4860,Kule mein haag na bankoro ,1,2
217,2021-01-02T17:39:34Z,@jaikrishna5632,The way still some haters cry is so funny to watch ,3,6
218,2021-01-02T14:04:24Z,@kapileshwarprasad7389,This video shld to be edited or deleted.. bcz this is 11years old and nowadays 98% indians have access to toilets,0,1
219,2020-12-31T18:44:11Z,@Goofy_774,Thats what indian army does  Poops on railways hahahahahah India is not super power  Its super pooper,1,0
220,2020-12-31T13:41:12Z,@hawk3393,The only topic you'll see no Indians in the comment section ,2,7
221,2020-12-28T21:23:41Z,@RedScorpionx3,These  like Im proud to be indian show me the complexes of these people because every man in the world knows that Indian are the most uncoolest person of the world. It just my opinion starting to  solve toilet problem in 2010  strength my mindset about indians and also 10 years isnt enough to change 1.3 billion peoples mindset,0,0
222,2020-12-28T14:32:24Z,@mybabypocato,"I got recommended after 10 years, before swacch bharat.....lol(*_*;",1,0
223,2020-12-14T17:37:17Z,@alparslanosmangokturkoglu2366,,9,0
224,2020-12-14T00:26:33Z,@jadedkratos5528,At least the flies won't go hungry,3,0
225,2020-12-08T18:22:20Z,@Texas-Cowboy-12,India Will Think That is the Conspiracy of Pakistan.,29,1
226,2020-11-28T19:05:53Z,@Teachingcasuals,Why do you need the government to build toilets. I understand restrictions but why not learn to do it for yourself?,0,3
